user,exp,tink,ref
ohmmgg1,0.682,0.106,0.212
ohmmgg2,0.362,0.391,0.247
ohmmgg3,0.41,0.343,0.247
ohmmgg4,0.105,0.243,0.652
ohmmgg5,0.087,0.124,0.789
ohmmgg6,0.0,0.0,0.0
ohmmgg7,0.456,0.024,0.52
ohmmgg8,0.393,0.433,0.174
ohmmgg9,0.688,0.03,0.282
ohmmgg10,0.281,0.265,0.454
ohmmgg11,0.798,0.188,0.014
ohmmgg12,0.928,0.011,0.061
ohmmgg13,0.545,0.311,0.144
ohmmgg14,0.393,0.341,0.266
ohmmgg15,0.741,0.19,0.069
ohmmgg16,0.789,0.137,0.074
ohmmgg17,0.826,0.066,0.108
ohmmgg18,0.407,0.509,0.084
ohmmgg19,0.46,0.0,0.54
ohmmgg20,0.062,0.748,0.19
ohmmgg21,0.727,0.272,0.001
ohmmgg22,0.0,0.0,0.0
ohmmgg23,0.0,0.0,0.0
ohmmgg24,0.849,0.087,0.064
ohmmgg25,0.557,0.285,0.158
