time,exp,tink,ref
,0.511,0.423,0.066
,0.0,0.0,0.0
,0.192,0.228,0.58
,0.803,0.159,0.038
,0.412,0.048,0.54
,0.262,0.66,0.078
,0.331,0.099,0.57
,0.144,0.134,0.722
,0.966,0.033,0.001
,0.289,0.329,0.382
,0.41,0.343,0.247
,0.736,0.252,0.012
,0.923,0.016,0.061
,0.0,0.0,0.0
,0.103,0.717,0.18
,0.179,0.247,0.574
,0.762,0.106,0.132
,0.844,0.008,0.148
,0.616,0.079,0.305
,0.126,0.787,0.087
,0.483,0.341,0.176
,0.359,0.591,0.05
,0.136,0.664,0.2
,0.922,0.015,0.063
,0.415,0.076,0.509
,0.313,0.382,0.305
,0.288,0.561,0.151
,0.0,0.0,0.0
,0.982,0.018,0.0
,0.902,0.079,0.019
